timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 15:04:36,gemma2,ioi,3.0,1.0,1.0,1.0,1.0,eap_frnorm_q3.0_k1.0_v1.0_g1.0_u1.0,0.6218
2026-05-07 15:12:06,gemma2,ioi,1.0,3.0,1.0,1.0,1.0,eap_frnorm_q1.0_k3.0_v1.0_g1.0_u1.0,1.1845
2026-05-07 15:19:44,gemma2,ioi,1.0,1.0,3.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v3.0_g1.0_u1.0,1.8290
2026-05-07 15:25:34,gemma2,ioi,1.0,1.0,1.0,3.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g3.0_u1.0,1.6668
2026-05-07 15:31:40,gemma2,ioi,1.0,1.0,1.0,1.0,3.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u3.0,0.8772
2026-05-07 15:55:45,gemma2,mcqa,0.0,1.0,1.0,1.0,1.0,eap_frnorm_q0.0_k1.0_v1.0_g1.0_u1.0,1.8870
2026-05-07 15:59:30,gemma2,mcqa,1.0,0.0,1.0,1.0,1.0,eap_frnorm_q1.0_k0.0_v1.0_g1.0_u1.0,1.6789
2026-05-07 16:03:17,gemma2,mcqa,1.0,1.0,0.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.0_g1.0_u1.0,0.8586
2026-05-07 16:07:07,gemma2,mcqa,1.0,1.0,1.0,0.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.0_u1.0,2.2315
2026-05-07 16:10:48,gemma2,mcqa,1.0,1.0,1.0,1.0,0.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.0,2.0562
2026-05-07 16:14:32,gemma2,mcqa,0.05,1.0,1.0,1.0,1.0,eap_frnorm_q0.05_k1.0_v1.0_g1.0_u1.0,1.8371
2026-05-07 16:18:17,gemma2,mcqa,1.0,0.05,1.0,1.0,1.0,eap_frnorm_q1.0_k0.05_v1.0_g1.0_u1.0,1.6621
2026-05-07 16:22:03,gemma2,mcqa,1.0,1.0,0.05,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.05_g1.0_u1.0,0.9311
2026-05-07 16:25:53,gemma2,mcqa,1.0,1.0,1.0,0.05,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.05_u1.0,2.2508
2026-05-07 16:29:35,gemma2,mcqa,1.0,1.0,1.0,1.0,0.05,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.05,2.0891
2026-05-07 16:33:19,gemma2,mcqa,0.1,1.0,1.0,1.0,1.0,eap_frnorm_q0.1_k1.0_v1.0_g1.0_u1.0,1.8662
2026-05-07 16:37:05,gemma2,mcqa,1.0,0.1,1.0,1.0,1.0,eap_frnorm_q1.0_k0.1_v1.0_g1.0_u1.0,1.6567
2026-05-07 16:40:52,gemma2,mcqa,1.0,1.0,0.1,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.1_g1.0_u1.0,1.0769
2026-05-07 16:44:41,gemma2,mcqa,1.0,1.0,1.0,0.1,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.1_u1.0,2.2494
2026-05-07 16:48:23,gemma2,mcqa,1.0,1.0,1.0,1.0,0.1,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.1,2.0290
2026-05-07 16:52:10,gemma2,mcqa,0.2,1.0,1.0,1.0,1.0,eap_frnorm_q0.2_k1.0_v1.0_g1.0_u1.0,1.8584
2026-05-07 16:55:57,gemma2,mcqa,1.0,0.2,1.0,1.0,1.0,eap_frnorm_q1.0_k0.2_v1.0_g1.0_u1.0,1.7449
2026-05-07 16:59:51,gemma2,mcqa,1.0,1.0,0.2,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.2_g1.0_u1.0,1.2283
2026-05-07 17:03:41,gemma2,mcqa,1.0,1.0,1.0,0.2,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.2_u1.0,2.2907
2026-05-07 17:07:24,gemma2,mcqa,1.0,1.0,1.0,1.0,0.2,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.2,2.0522
2026-05-07 17:11:10,gemma2,mcqa,0.5,1.0,1.0,1.0,1.0,eap_frnorm_q0.5_k1.0_v1.0_g1.0_u1.0,1.7284
2026-05-07 17:14:57,gemma2,mcqa,1.0,0.5,1.0,1.0,1.0,eap_frnorm_q1.0_k0.5_v1.0_g1.0_u1.0,1.6632
2026-05-07 17:18:45,gemma2,mcqa,1.0,1.0,0.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.5_g1.0_u1.0,1.1726
2026-05-07 17:22:33,gemma2,mcqa,1.0,1.0,1.0,0.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.5_u1.0,2.1388
2026-05-07 17:26:18,gemma2,mcqa,1.0,1.0,1.0,1.0,0.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.5,2.1084
2026-05-07 17:30:04,gemma2,mcqa,1.0,1.0,1.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.0,1.1989
